,location,tweetcreatedts,clean_tweet,vader_score,vader_sentiment_label,sentiment
388,"Bengaluru, India",28/5/2020 5:12,Feeling stressed every day uncertain future take toll health well-being. Here foods help combat stress: https://t.co/17MHVwhXeh #Food #Health #Stress #COVID19,-0.8126,1,negative
389,,28/5/2020 5:11,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,1,negative
390,"Bengaluru, India",28/5/2020 4:42,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,1,negative
391,"Liège, Belgique",28/5/2020 4:32,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,3,positive
392,,28/5/2020 4:31,HERE’S WHAT WE LEARNED FROM OUR COVID-19 SURVEY STUDY OF HEALTH BEHAVIOR CHANGE #Diet #exercise #sleep #anxiety #stress #cookingathome #ExerciseAtHome https://t.co/FeyGjF7psN via @Baton Rouge Business Report,-0.5423,1,negative
393,"Melbourne, Australia",28/5/2020 4:30,#COVID19 #coronavirus #cytokinestorm #inflammation #colitis #diabetes #arthritis #rheumatoidarthritis #cancer #cytokines #stress #neuroinflammation #depression #mentalhealth Modulation Melatonin Pathogenesis Inflammatory Autoimmune Diseases https://t.co/hVSdi3V1WE https://t.co/n9fM347o5k,-0.8979,1,negative
394,,28/5/2020 4:27,"A nice document @mariwalahealth – must read resource guide Covid-19 #mental health, #stress affects body, deal #uncertainty #isolation read whole document https://t.co/goOOqd8v0D #mentalhealth #covid-19 #anxiety https://t.co/jbjtwMEEsK",-0.7003,1,negative
395,"Nevada, USA",28/5/2020 4:17,Can something PLEASE go right ONCE?! Just lost 4 bunnies snake. Lost 2 cats coyotes last 2 months. I ZERO income since 3/20 I’m around miserable. #FML #fuckcovid #COVID19 #depression #depressed #igiveup,-0.9013,1,negative
396,United States,28/5/2020 4:16,"Learn managing #stress, #anxiety, loneliness may result #COVID19 social distancing @LivingBeyondBC #bcsm https://t.co/cI2oZRvE39",-0.743,1,negative
397,Kenya,28/5/2020 4:15,"Whether you’re frontline worker, parent, senior teacher, If you’re experiencing #anxiety, #depression #mentalhealth challenges arising COVID-19 pandemic virtual service available help you! Check list! https://t.co/iG7wdvVzXY https://t.co/4ZvqiZ7bQi",-0.4559,1,negative
398,"British Columbia, Canada",28/5/2020 4:13,"Whether you’re frontline worker, parent, senior teacher, If you’re experiencing #anxiety, #depression #mentalhealth challenges arising COVID-19 pandemic virtual service available help you! Check list! https://t.co/iG7wdvVzXY https://t.co/4ZvqiZ7bQi",-0.4559,1,negative
399,"Victoria, BC CANADA",28/5/2020 4:05,Don’t keep #stress body! Don’t stay home whole day! Some people might worry risk #COVID19 safe activities still enjoy sunshine! It’s time play #GOLF! https://t.co/Ohy2hHcmit #activity #people #fun #outdoor https://t.co/cHzqc0Gdc7,0.8544,3,positive
400,Bombay,28/5/2020 4:00,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,1,negative
401,,28/5/2020 3:53,Safety FIRST. https://t.co/VKL1ZxZSKh P U S H: https://t.co/IN9IezZ3GH #COVID2019 #LetsFightCovid19 #coronavirus #SocialDistancing #COVID19 #depression #paranormal #Metaphysical #spirituality #ebooks #book #amreading #books #greatreads #Prayer #Reading #mustread #BYNR https://t.co/L7DT7cxod8,-0.2263,1,negative
402,"Melbourne, Australia",28/5/2020 3:52,AMEN. https://t.co/VKL1ZxZSKh Touch: https://t.co/IN9IezZ3GH #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #ChinaVirus #ChinaLiedPeopleDied #depression #HealthcareHeroes #health #PrayerRequest #amreading #books #Reading #mustread #ebook #bynr #paranormal #spirituality https://t.co/13X2KiMmhU,-0.5719,1,negative
403,,28/5/2020 3:51,AMEN. https://t.co/VKL1ZxZSKh Touch: https://t.co/IN9IezZ3GH #coronavirus #CoronavirusPandemic #COVID19 #Covid19Out #ChinaVirus #ChinaLiedPeopleDied #depression #HealthcareHeroes #health #PrayerRequest #amreading #books #Reading #mustread #ebook #bynr #paranormal #spirituality https://t.co/13X2KiMmhU,-0.5719,1,negative
404,"Bombay, India ",28/5/2020 3:51,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,1,negative
405,"San Antonio, Texas",28/5/2020 3:46,"Learn managing #stress, #anxiety, loneliness may result #COVID19 social distancing @LivingBeyondBC #bcsm https://t.co/cI2oZRvE39",-0.743,1,negative
406,"Harare, Zimbabwe",28/5/2020 3:44,"📰 1st REPORT finding low-income country, #ZImbabwe🇿🇼 #FriendshipBench !) Showing people 3x likely suffer long-term #depression also high anxiety levels. #covid19 #reserach #mentalhealth @KingsIoPPN @kubatana https://t.co/Zzws4hjQ3y https://t.co/5Eex3JeZBQ",-0.8478,1,negative
407,Illinois,28/5/2020 3:38,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,1,negative
408,"Washington, DC",28/5/2020 3:37,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,1,negative
409,"Washington, DC ",28/5/2020 3:21,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,3,positive
410,"TN, USA",28/5/2020 3:04,Coronavirus Pendemic COVID -19 signs symptoms #coronavirus #COVID19 #homeopathy #TaimouriClinic #HomeoClinic #Homeopathic #fear #Depression #Sadness #غم #CoronavirusMedicine #CoronaWarriors #coronaAnxiety #coronaFear #panicAttack https://t.co/b8z0WjRSFd,-0.8689,1,negative
411,"Chicago, IL",28/5/2020 2:51,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,1,negative
412,"Washington, DC",28/5/2020 2:49,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,1,negative
413,"Austin, TX",28/5/2020 2:20,No One Is Actually Learning Because We Are All Grieving https://t.co/iyL80u7SGo #schoolrubric #coronavirus #covid-19 #distancelearning #grief #stress #trauma #wellness via @atheadavis @schoolrubric https://t.co/BhZGjlXXg2,-0.886,1,negative
414,"Madhya Pradesh, India",28/5/2020 2:10,It’s virus. You can’t let consume thoughts #COVID__19 #Corona #BeatCOVID19 #Immunity #ImmuneSystem #immunesupport #stress #stressmanagement #VirusCorona #RachnaRestores #autoimmune #warrior https://t.co/Ja3izHjVFW,-0.4215,1,negative
415,"Athens, GA",28/5/2020 1:58,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,1,negative
416,Canada,28/5/2020 1:48,Recognizing many ways grief shows pandemic. #COVID19 #canada #coronavirus #health #mentalhealth #stress #wellness #adversity #grief #pandemic https://t.co/fmjqFgGRJF,-0.8442,1,negative
417,"Athens, GA",28/5/2020 1:45,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,3,positive
418,"San Luis Valley, Colorado, USA",28/5/2020 1:28,#COVID__19 /#coronavirus affecting everyone's #mentalhealth including children. Help raise money publish picture book children #depression https://t.co/xDPXjMnFlp,-0.25,1,negative
419,"Ontario, Canada",28/5/2020 1:15,#COVID__19 /#coronavirus affecting everyone's #mentalhealth including children. Help raise money publish picture book children #depression https://t.co/xDPXjMnFlp,-0.25,1,negative
420,"Colorado Springs, CO",28/5/2020 1:06,"1/ A third Americans (since #Covid_19 )show signs clinical anxiety #depression, Census Bureau finds *Census Bureau's ""emergency coronavirus project""😶 aka 2020 Household Pulse Survey via .@CDCgov Who address #MentalHealth FUNDS❓ https://t.co/osDhX3YWIX",-0.7906,1,negative
421,Bangalore/Delhi,28/5/2020 1:02,My interview #Parvathy @parvatweets speaks length first time long battle #depression. She also tells proud #Kerala's response #COVID19 &amp; 2019 film #Virus must-watch pandemic https://t.co/Q96kRGqIMf,-0.4939,1,negative
422,Sri Lanka,28/5/2020 1:00,Managing Covid-19 Stress #RaptorDigital #DigitalMarketing #Lka #SriLanka #Business #Solutions #Branding #Facebook #Instagram #Twitter #Marketing #Innovation #Design #Covid19 #Corona #Stress #Work #WorkFromHome 2/2 https://t.co/qfFhHKF9wK,-0.3182,1,negative
423,Sri Lanka,28/5/2020 1:00,Managing Covid-19 Stress #RaptorDigital #DigitalMarketing #Lka #SriLanka #Business #Solutions #Branding #Facebook #Instagram #Twitter #Marketing #Innovation #Design #Covid19 #Corona #Stress #Work #WorkFromHome 1/2 https://t.co/1HNba2OXdx,-0.3182,1,negative
424,,28/5/2020 0:58,"1/ A third Americans (since #Covid_19 )show signs clinical anxiety #depression, Census Bureau finds *Census Bureau's ""emergency coronavirus project""😶 aka 2020 Household Pulse Survey via .@CDCgov Who address #MentalHealth FUNDS❓ https://t.co/osDhX3YWIX",-0.7906,1,negative
425,"California, USA",28/5/2020 0:55,"""#COVID19 exposed weaknesses gaps #health care system."" https://t.co/PMR1R1yAqe #BeyondCoping #MentalHealth #MentalIllness #Psychotherapy #GetHelp #CallUsNow",0.1027,3,positive
426,,28/5/2020 0:53,Free resource helping children covid19 stress #children #covid19 #stress #Quarantine #kids #Corona https://t.co/8ptTKEBXLA,-0.0258,2,neutral
427,"Heidelberg, Australia",28/5/2020 0:53,Household Impacts #COVID19 Survey @ABSStats finds loneliness widely reported source personal #stress Australians April https://t.co/yi8F6BC3Sy,-0.6808,1,negative
428,"Melbourne, Australia",28/5/2020 0:41,"The stress might feel unsettling time translates stiffness base neck, reflects headaches. Read 👉 https://t.co/dkM6HQNNqQ #Health #Covid_19 #Headaches #StayAtHome #Stress https://t.co/Rbig0U1pTV",-0.6808,1,negative
429,Shropshire,28/5/2020 0:32,FACT I MUST #UNPLUG FROM #TECHNOLOGY TO BE #HEALTHY IN THE #ERA OF #CORONAVIRUS #CORONA #COVID19 #RONA #CDC #DYSTOPIA #MELANIN #BLACKPEOPLE #BLACKTWITTER #GHETTO #NIGGAS #RAPBARS #LGBT #AFRICA #AMERIKKKA #WOKE #CONSPIRACYTHEORY #MENTALILLNESS #MENTALHEALTH #QUARANTINE #6FEETAPART https://t.co/dDX1J85ToH,0.0772,3,positive
430,666,28/5/2020 0:20,FACT I MUST #UNPLUG FROM #TECHNOLOGY TO BE #HEALTHY IN THE #ERA OF #CORONAVIRUS #CORONA #COVID19 #RONA #CDC #DYSTOPIA #MELANIN #BLACKPEOPLE #BLACKTWITTER #GHETTO #NIGGAS #RAPBARS #LGBT #AFRICA #AMERIKKKA #WOKE #CONSPIRACYTHEORY #MENTALILLNESS #MENTALHEALTH #QUARANTINE #6FEETAPART https://t.co/dDX1J85ToH,0.0772,3,positive
431,"Miami, FL",28/5/2020 0:19,@NickKristof What contagious #covid19? #mentalillness,-0.34,1,negative
432,USA,28/5/2020 0:15,Coronavirus Pendemic COVID -19 signs symptoms #coronavirus #COVID19 #homeopathy #TaimouriClinic #HomeoClinic #Homeopathic #fear #Depression #Sadness #غم #CoronavirusMedicine #CoronaWarriors #coronaAnxiety #coronaFear #panicAttack https://t.co/b8z0WjRSFd,-0.8689,1,negative
433,"Lenoir, NC",28/5/2020 0:05,What #coronavirus #stress brain body https://t.co/xm7TeVeUcM,-0.4215,1,negative
434,"San Francisco, CA",28/5/2020 0:00,New clinical trial #depression: Impact Covid-19 Pandemic Depression Quality Life https://t.co/AD5AlFU3TW,-0.8126,1,negative
435,,27/5/2020 23:54,How India's lockdown affected mental health https://t.co/i6sVrPjGvD Via @iitgn @medrxivpreprint @anuassam_01 #MentalHealth #Addiction #Anxiety #Coronavirus #Depression #InternetAddiction #Research #Stress #CoronavirusDisease #COVID19 #PornAddiction #Pornography https://t.co/Nh7Kr3CUME,-0.8316,1,negative
436,Pakistan,27/5/2020 23:52,"A third #Americans show #signs #clinical #anxiety #depression, #Census Bureau finds - #coronavirus #covid19 #pandemic #lockdown #health #news #healthcare #mentalHealth https://t.co/mnYEuWay2N",-0.6597,1,negative
437,"Stamford, England",27/5/2020 23:51,"...if suffering, losing hope dealing grief, read Sarah coped. She chose take medication mask grief counseling. Instead, knew could trust. body heal itself. What beautiful story. #grief #Covid19 #stress #treuk https://t.co/KYpEFFzrLx",-0.7906,1,negative
438,Earth,27/5/2020 23:51,Why America's #economy screwed heading near unfixable #depression. Written someone far smarter me. | #UBI #media #MedicareForAll #racism #WorkersRights #COVID19 #Corruption #GeneralStrike2020 #GeneralStrike #socialmedia #Socialism https://t.co/TJfWzCxLgA,-0.8402,1,negative
439,"Moorhead, MN",27/5/2020 23:41,Why America's #economy screwed heading near unfixable #depression. Written someone far smarter me. | #UBI #media #MedicareForAll #racism #WorkersRights #COVID19 #Corruption #GeneralStrike2020 #GeneralStrike #socialmedia #Socialism https://t.co/TJfWzCxLgA,-0.8402,1,negative
440,Tehsil Road Haripur Pakistan,27/5/2020 23:34,Coronavirus Pendemic COVID -19 signs symptoms #coronavirus #COVID19 #homeopathy #TaimouriClinic #HomeoClinic #Homeopathic #fear #Depression #Sadness #غم #CoronavirusMedicine #CoronaWarriors #coronaAnxiety #coronaFear #panicAttack https://t.co/b8z0WjRSFd,-0.8689,1,negative
441,Sudbury ON CND,27/5/2020 23:28,Fantastic #webinar today CROSH Postdoctoral Fellow Dr. Zsuzsanna Kerekes. She breaks #stress really discusses stress experience #COVID19. Watch free anytime CROSH website: https://t.co/DKREZAKfik https://t.co/QcpugeXybo,0.2551,3,positive
442,American University Park,27/5/2020 23:16,I don’t room anymore. The boxes going shed. This sucks. 😞 #coronavirus #quarantine #depression,-0.8649,1,negative
443,,27/5/2020 23:13,"If can't come us, we'll find way you. Blue Nile happy announce online consultations. Book https://t.co/CCCyUPUDQj #mentalhealth #onlinecounselling #anxiety #depression #depressionhelp #MentalHealthAwarenessWeek2020 #COVID19 https://t.co/Zre9lm7b1f",-0.1779,1,negative
444,👍🏿,27/5/2020 23:10,"If can't come us, we'll find way you. Blue Nile happy announce online consultations. Book https://t.co/CCCyUPUDQj #mentalhealth #onlinecounselling #anxiety #depression #depressionhelp #MentalHealthAwarenessWeek2020 #COVID19 https://t.co/Zre9lm7b1f",-0.1779,1,negative
445,"London, England",27/5/2020 23:03,We offering psychospiritual culturally sensitive counselling free anyone affected tragedy #GrenfellTower #Grenfell currently suffering #anxiety #depression due #coronavirus #COVID__19 Please get touch: https://t.co/8kSk9h1yL5,-0.836,1,negative
446,WorldWide,27/5/2020 23:02,"A third #Americans show #signs #clinical #anxiety #depression, #Census Bureau finds - #coronavirus #covid19 #pandemic #lockdown #health #news #healthcare #mentalHealth https://t.co/mnYEuWay2N",-0.6597,1,negative
447,"Washington, DC",27/5/2020 23:01,“I don’t want stand performed poorly male colleagues...I know long I keep up. I completely exhausted &amp; end sight.” https://t.co/064ugxQxAY #wlf #Covid_19 #pandemiclife #exhausted #women #lawyer #stress #workingmoms,-0.7778,1,negative
448,Canada,27/5/2020 23:00,"Watch Dr. Benicio Frey (Associate Professor Psychiatry, McMaster University) ""Managing #Insomnia During #COVID19"" Link: https://t.co/KfBHWZhTbT #depression #MentalHealthDuringQuarantine @neurosciencemac https://t.co/AKtPDZTnJf",-0.5719,1,negative
449,"Spokane Valley, WA",27/5/2020 23:00,Traumatic #Stress #COVID_19 Raises Concerns Front-Line Responders. #awareness #prevention https://t.co/3OlMwXeq9P,-0.7579,1,negative
450,,27/5/2020 22:57,"""Millions people around world coping #jobloss caused #COVID19 pandemic. Whether it’s temporary permanent, unemployment lead stress, #anxiety, #depression #mentalhealth challenges."" Via @seattletimes https://t.co/SvH611PJty",-0.8689,1,negative
451,"Washington, DC",27/5/2020 22:56,Super pleased jointly written (w @JLSkillings) resource consulting #anxiety #stress #Covid_19 #HealthcareHeroes @APA @APAPractice @division42 @GovMikeDeWine @DrAmyActon @APADivision38 https://t.co/ZGjfRhAzkt,0.5106,3,positive
452,"Columbia, SC",27/5/2020 22:42,Looking #podcast great advice manage #MentalHealth #COVID19? Here go! #Sleep #Nutrition #Mindfulness #HealthyEating #ChildDevelopment #StressManagement #HolisticHealth #Stress #SnellingStaffing #BetterTogether #staffing https://t.co/YixJVHscg7,0.3802,3,positive
453,,27/5/2020 22:22,"RT, please; enough? Parents children @2000days need access #childcare access $Enough financial resources minimize #stress &amp; #emotions worrying basic needs😣#yyc #COVID19 @impactCalgary @communitynowma1 @SunriseCLRC @dtalks_yyc @LEAD4changes https://t.co/ClTSP1oiT6 https://t.co/dxMjv7x58l",-0.4404,1,negative
454,"Tempe, AZ, USA",27/5/2020 22:15,Anxiety challenges ability resolve conflicts. Here tips: https://t.co/fWfKPwyO9Q #conflict #conflicts #conflictmanagement #stress #stressed #stressrelief #covid19 #coronavirus #pandemic https://t.co/Xaf3SD3Qp4,-0.802,1,negative
455,"New York, USA",27/5/2020 22:13,"This article quite interesting! Very likely similarity weekdays contributes sadness, depression likely disrupts extent normal circadian rhythm. #covid19 #stress #sadness #biologicalrhyt…https://t.co/s6HMHk0H02 https://t.co/fT97TbRsct",-0.8624,1,negative
456,,27/5/2020 22:11,Hard Work Pays Off ✔✔✔ #rebalance #motivation #balance #inspiration #mindbodysoul #spiritualhealing #livelife #happiness #success #community #podcast #stress #anxiety #covid19 #stressrelief #love #balanceinlife… https://t.co/sPum1kk7FB,0.9246,3,positive
457,"Colorado, USA",27/5/2020 22:11,MAY #MentalHealthAwareness Month #ICYMI #MentalHealth distress among Americans TRIPLED #Covid19 Pandemic! #Aspen #Breck #Vail #Colorado #Anxiety #Depression #Unemployment #Poverty #Stress #Suicide #SuicideAwareness LEARN via @TIME https://t.co/Oh1U1gq0px https://t.co/F8ruX4Zfom,-0.9705,1,negative
458,"Tucson, AZ",27/5/2020 22:03,Anxiety coronavirus manifest myriad ways. Learn recognize signs protect mental health. https://t.co/QDgj5MXsRz #covid19 #coronavirus #mentalhealth #stress #wellrx https://t.co/Vku12S8zT7,-0.2263,1,negative
459,"Connecticut, USA",27/5/2020 22:03,Collision Crises: How Covid-19 Will Propel Drug Overdose From Bad To Worse. My latest @Forbes : https://t.co/7NH7Zb97gE #addiction #mentalhealth #COVID19 #pandemic #stress #anxiety #despair #treatment #recovery #publichealth #harmreduction #ChronicPain https://t.co/QTcsNdEV5c,-0.9313,1,negative
460,DC/Chicago,27/5/2020 22:02,"Nearly half #parents children 18 reported high level #stress - score 8 greater 10! No significant difference stress levels moms dads, moms reported feeling overwhelmed dads reported feeling lonely @APA #Covid_19 https://t.co/w5iKCRMVze",-0.6467,1,negative
461,,27/5/2020 22:00,"I went #mentalhealth crisis, I want people know alone. Dealing #depression #anxiety #OCD #quarentine hard. Share thoughts @BloggerLS #lifestyle #support #wednesday #health #covid19 https://t.co/8dLAz9xMLs",-0.7717,1,negative
462,"Tucson, AZ",27/5/2020 21:58,Anxiety coronavirus manifest myriad ways. Learn recognize signs protect mental health. https://t.co/QDgj5MXsRz #covid19 #coronavirus #mentalhealth #stress #wellrx https://t.co/Vku12S8zT7,-0.2263,1,negative
463,Highgate,27/5/2020 21:58,Sandra G. M. Jarvis says bringing #fun back life relesses #stress #tension 💎 #mentalbreakdowns #mentalhealth #MentalHealthAwarenessWeeek #depression #depressed #SocialDistancing #COVID__19 #Covid19UK #coronavirus #Corona #anxiety #Day61OfLockDown #ChangeYourWorld https://t.co/RylTX98ohc,-0.8591,1,negative
464,Highgate,27/5/2020 21:58,💃🏽 You YOU think. 🦋 💎 #mentalbreakdowns #mentalhealth #MentalHealthAwarenessWeeek #depression #depressed #SocialDistancing #COVID__19 #Covid19UK #coronavirus #Corona #anxiety #Day61OfLockDown #ChangeYourWorld https://t.co/KSc90wUAKq,-0.8271,1,negative
465,"Mirandola, Emilia Romagna",27/5/2020 21:56,"1/ A third Americans (since #Covid_19 )show signs clinical anxiety #depression, Census Bureau finds *Census Bureau's ""emergency coronavirus project""😶 aka 2020 Household Pulse Survey via .@CDCgov Who address #MentalHealth FUNDS❓ https://t.co/osDhX3YWIX",-0.7906,1,negative
466,,27/5/2020 21:51,"Managing #stress &amp; anxiety important time, especially you’re #pregnant new mom. Tune Facebook Live Thurs., 5/28 1PM CST expert panel talks strategies cope challenging times. Supported @SageBiotech. #COVID19 https://t.co/klT5icOtLx",0.0516,3,positive
467,"Dallas, TX",27/5/2020 21:50,"Managing #stress &amp; anxiety important time, especially you’re #pregnant new mom. Tune Facebook Live Thurs., 5/28 1PM CST expert panel talks strategies cope challenging times. Supported @SageBiotech. #COVID19 https://t.co/klT5icOtLx",0.0516,3,positive
468,"Tokyo,Osaka,Japan",27/5/2020 21:49,Is Coronavirus harming mental health? Take quiz find out. #COVID #COVIDー19 #MentalHealthAwarenessMonth #mentalhealth #coronavirus #depression #anxiety #fear #WednesdayThoughts https://t.co/r2diTe1v8O https://t.co/S5tOZF890j,-0.9042,1,negative
469,,27/5/2020 21:39,"1/ A third Americans (since #Covid_19 )show signs clinical anxiety #depression, Census Bureau finds *Census Bureau's ""emergency coronavirus project""😶 aka 2020 Household Pulse Survey via .@CDCgov Who address #MentalHealth FUNDS❓ https://t.co/osDhX3YWIX",-0.7906,1,negative
470,,27/5/2020 21:34,"Managing #stress &amp; anxiety important time, especially you’re #pregnant new mom. Tune Facebook Live Thurs., 5/28 1PM CST expert panel talks strategies cope challenging times. Supported @SageBiotech. #COVID19 https://t.co/klT5icOtLx",0.0516,3,positive
471,"Colorado, USA",27/5/2020 21:27,The disruptions daily life due #Covid19 may increase feelings #stress #anxiety #hopelessness existing #MentalHealth problems. Find support &amp; resources available https://t.co/FyG6D1Us5f https://t.co/3ZE12VI6O9 @RMIRECC #MentalHealthAwarenessMonth,-0.8271,1,negative
472,TX,27/5/2020 21:22,Being An #AgentOfChange For #Workplace #MentalHealth via .@forbes https://t.co/hYFesBEnVx #HR #COVID19 #Stress #EAPs #WorkplaceCulture,-0.4215,1,negative
473,Dallas/ Fort-Worth,27/5/2020 21:21,Being An #AgentOfChange For #Workplace #MentalHealth via .@forbes https://t.co/QVNkQ19Iy3 #HR #COVID19 #Stress #EAPs #WorkplaceCulture,-0.4215,1,negative
474,"Spring Hill, FL",27/5/2020 21:19,"There weeks left anything depression, &amp; Congress, led Republican Senate, fiddling. Why? And it? #depression #BasicIncome #AMJoy #spacexlaunch #SpaceXDragon #racism #coronavirus https://t.co/1el4V1eywG via @YouTube",-0.9163,1,negative
475,,27/5/2020 21:18,"This video looks #behaviouralactivation. It one videos I made part series created @CPFT_NHS @IaptPws @PboroMHExemplar support people #worry, #anxiety #depression, especially #covid19 https://t.co/B1hnIxx2ta 💙",-0.5574,1,negative
476,"Worcester, MA, USA",27/5/2020 21:15,"#Lockdown seems like go forever, end…but keep attitudes meantime, combat #depression? https://t.co/yY7HXhDomC #COVID19 #SocialIsolation #Gratitude #Happiness #Attitude #OlderAdults via #SeniorPlanet",0.5106,3,positive
477,"Bengaluru, India",27/5/2020 21:07,"If can't come us, we'll find way you. Blue Nile happy announce online consultations. Book https://t.co/CCCyUPUDQj #mentalhealth #onlinecounselling #anxiety #depression #depressionhelp #MentalHealthAwarenessWeek2020 #COVID19 https://t.co/Zre9lm7b1f",-0.1779,1,negative
478,California & Texas,27/5/2020 20:52,"With todays mission space scrubbed, get thrown back crisis land. Today talk mental health begin reopen world. #coronavirus #covid19 #healthcare #socialdistancing #mentalhealthmatters #mentalhealth #anxiety #stress https://t.co/ESmYTXIF3u",-0.8225,1,negative
479,Southern California,27/5/2020 20:52,"According recent Census Bureau survey, third American adults report symptoms clinical #anxiety #depression amid coronavirus outbreak. Find more: https://t.co/XRoyVrQIgq #Getthefacts #covid19 #NewBlog",-0.6597,1,negative
480,Twin Cities,27/5/2020 20:49,"How recognize signs #anxiety #depression middle school-aged children? Our School-Linked Therapist, Jenna Seal, participating free @ISD281 online event tomorrow provides strategies help families #COVID19: https://t.co/L7oniUEWHJ. https://t.co/xTtFJAdfdb",0.1531,3,positive
481,,27/5/2020 20:49,Are experiencing emotional #stress #COVID19 period? Don’t worry call (86) 400-680-6101 get advanced psychological counseling Tsinghua experts. We always ready help you! For more: https://t.co/TgYJpw5yQi https://t.co/9PUMEvaOOG,0.3382,3,positive
482,Nationwide,27/5/2020 20:48,"According recent Census Bureau survey, third American adults report symptoms clinical #anxiety #depression amid coronavirus outbreak. Find more: https://t.co/WgEnK1UyHm #Getthefacts #covid19 #NewBlog",-0.6597,1,negative
483,Wales/now in Quarantine,27/5/2020 20:35,How #COVID19 #lockdown impacting #ethnicminority people lived experience severe #mentalillness #carers? We plan create #digital journal document #stories based survey. Please RT. https://t.co/DxfTWJt68A https://t.co/smeA31anaj,0.2023,3,positive
484,"Victoria, British Columbia",27/5/2020 20:34,"RT, please; enough? Parents children @2000days need access #childcare access $Enough financial resources minimize #stress &amp; #emotions worrying basic needs😣#yyc #COVID19 @impactCalgary @communitynowma1 @SunriseCLRC @dtalks_yyc @LEAD4changes https://t.co/ClTSP1oiT6 https://t.co/dxMjv7x58l",-0.4404,1,negative
485,"Calgary, Alberta",27/5/2020 20:33,"RT, please; enough? Parents children @2000days need access #childcare access $Enough financial resources minimize #stress &amp; #emotions worrying basic needs😣#yyc #COVID19 @impactCalgary @communitynowma1 @SunriseCLRC @dtalks_yyc @LEAD4changes https://t.co/ClTSP1oiT6 https://t.co/dxMjv7x58l",-0.4404,1,negative
486,"District of Columbia, USA",27/5/2020 20:32,"High stress related coronavirus new normal many parents, says new @APA survey: Online learning, basic needs, missing milestones contribute parental stress @ScienceDaily #stress #covid19 #parenting #ParentingInLockdown https://t.co/kETr4PFr2s",-0.8625,1,negative
487,Monroe NY and Warwick NY,27/5/2020 20:31,Wondering how? Read full article: COVID stress cycle…The real culprit physical pain? | Move Physio ▸ https://t.co/c1v086YXmA #covid #pain #stress https://t.co/EEpkLEVSzj,-0.9111,1,negative
488,San Francisco Bay Area CA USA,27/5/2020 20:28,Thank You @APA findings #stress US #COVID https://t.co/cUVufZ584Z,-0.0772,1,negative
489,"Washington, DC",27/5/2020 20:26,COVID-19 adding folks #stress #anxiety. We don’t need #badbosses #toxic enviroments making worse! #wednesdaywisdom #leadership @leadershipmatters #leadershiptalk https://t.co/B2TupKT79S,-0.784,1,negative
490,"Long Island, New York",27/5/2020 20:23,"Exactly, seek support mental wellbeing? Especially now, everything magnified, things triggering us more. Learning new coping skills essential. There's way all. #mentalhealth #mentalhealthawareness #COVID19 #trauma #stress https://t.co/XY8aEqRy7x",-0.4404,1,negative
